,lines
12533,And in the meantime there will be plenty of comings and goings between Narnia and Archenland across the neck of the mountains.
12534,"And of course you remember you have promised to come for a whole week to stay with me for the Summer Festival, and there'll be bonfires and all-night dances of Fauns and Dryads in the heart of the woods and, who knows?-we might see Aslan himself!  When the meal was over the Faun told Shasta to stay quietly where he was."
12535,"And it wouldn't do you any harm to have a little sleep, he added."
12536,I'll call you in plenty of time to get on board.
12537,"And then, Home."
12538,Narnia and the North!  Shasta had so enjoyed his dinner and all the things Tumnus had been telling him that when he was left alone his thoughts took a different turn.
12539,He only hoped now that the real Prince Corin would not turn up until it was too late and that he would be taken away to Narnia by ship.
12540,I am afraid he did not think at all of what might happen to the real Corin when he was left behind in Tashbaan.
12541,He was a little worried about Aravis and Bree waiting for him at the Tombs.
12542,"But then he said to himself, Well, how can I help it? and, Anyway, that Aravis thinks she's too good to go about with me, so she can jolly well go alone, and at the same time he couldn't help feeling that it would be much nicer going to Narnia by sea than toiling across the desert."
12543,"When he had thought all this he did what I expect you would have done if you had been up very early and had a long walk and a great deal of excitement and then a very good meal, and were lying on a sofa in a cool room with no noise in it except when a bee came buzzing in through the wide open windows."
12544,He fell asleep.
12545,What woke him was a loud crash.
12546,"He jumped up off the sofa, staring."
12547,He saw at once from the mere look of the room - the lights and shadows all looked different - that he must have slept for several hours.
12548,He saw also what had made the crash: a costly porcelain vase which had been standing on the window-sill lay on -the floor broken into about thirty pieces.
12549,But he hardly noticed all these things.
12550,What he did notice was two hands gripping the window-sill from outside.
12551,They gripped harder and harder (getting white at the knuckles) and then up came a head and a pair of shoulders.
12552,A moment later there was a boy of Shasta's own age sitting astride the sill with one leg hanging down inside the room.
12553,Shasta had never seen his own face in a looking-glass.
12554,"Even if he had, he might not have realized that the other boy was (at ordinary times) almost exactly like himself."
12555,"At the moment this boy was not particularly like anyone for he had the finest black eye you ever saw, and a tooth missing, and his clothes (which must have been splendid ones when he put them on) were torn and dirty, and there was both blood and mud on his face."
12556,Who are you? said the boy in a whisper.
12557,Are you Prince Corin? said Shasta.
12558,"Yes, of course, said the other."
12559,"But who are you?  I'm nobody, nobody in particular, I mean, said Shasta."
12560,King Edmund caught me in the street and mistook me for you.
12561,I suppose we must look like one another.
12562,"Can I get out the way you've got in?  Yes, if you're any good at climbing, said Corin."
12563,But why are you in such a hurry? I say: we ought to be able to get some fun out of this being mistaken for one another.
12564,"No, no, said Shasta."
12565,We must change places at once.
12566,It'll be simply frightful if Mr Tumnus comes back and finds us both here.
12567,I've had to pretend to be you.
12568,And you're starting tonight - secretly.
12569,"And where were you all this time?  A boy in the street made a beastly joke about Queen Susan, said Prince Corin, so I knocked him down."
12570,He ran howling into a house and his big brother came out.
12571,So I knocked the big brother down.
12572,Then they all followed me until we ran into three old men with spears who are called the Watch.
12573,So I fought the Watch and they knocked me down.
12574,It was getting dark by now.
12575,Then the Watch took me along to lock me up somewhere.
12576,So I asked them if they'd like a stoup of wine and they said they didn't mind if they did.
12577,Then I took them to a wine shop and got them some and they all sat down and drank till they feel asleep.
12578,I thought it was time for me to be off so I came out quietly and then I found the first boy - the one who had started all the trouble - still hanging about.
12579,So I knocked him down again.
12580,After that I climbed up a pipe on to the roof of a house and lay quiet till it began to get light this morning.
12581,Ever since that I've been finding my way back.
12582,"I say, is there anything to drink?  No, I drank it, said Shasta."
12583,"And now, show me how you got in."
12584,There's not a minute to lose.
12585,You'd better lie down on the sofa and pretend-but I forgot.
12586,It'll be no good with all those bruises and black eye.
12587,"You'll just have to tell them the truth, once I'm safely away."
12588,What else did you think I'd be telling them? asked the Prince with a rather angry look.
12589,"And who are you?  There's no time, said Shasta in a frantic whisper."
12590,"I'm a Narnian, I believe; something Northern anyway."
12591,But I've been brought up all my life in Calormen.
12592,And I'm escaping: across the desert; with a talking Horse called Bree.
12593,"And now, quick! How do I get away?  Look, said Corin."
12594,Drop from this window on to the roof of the verandah.
12595,"But you must do it lightly, on your toes, or someone will hear you."
12596,Then along to your left and you can get up to the top of that wall if you're any good at all as a climber.
12597,Then along the wall to the corner.
12598,"Drop onto the rubbish heap you will find outside, and there you are."
12599,"Thanks, said Shasta, who was already sitting on the sill."
12600,The two boys were looking into each other's faces and suddenly found that they were friends.
12601,"Good-bye, said Corin."
12602,And good luck.
12603,I do hope you get safe away.
12604,"Good-bye, said Shasta."
12605,"I say, you have been having some adventures."
12606,"Nothing to yours, said the Prince."
12607,"Now drop; lightlyI say, he added as Shasta dropped."
12608,I hope we meet in Archenland.
12609,Go to my father King Lune and tell him you're a friend of mine.
12610,Look out! I hear someone coming.
12611,  CHAPTER SIX  SHASTA AMONG THE TOMBS  SHASTA ran lightly along the roof on tiptoes.
12612,It felt hot to his bare feet.
12613,"He was only a few seconds scrambling up the wall at the far end and when he got to the corner he found himself looking down into a narrow, smelly street, and there was a rubbish heap against the outside of the wall just as Corin had told him."
12614,Before jumping down he took a rapid glance round him to get his bearings.
12615,Apparently he had now come over the crown of the island-hill on which Tashbaan is built.
12616,"Everything sloped away before him, flat roofs below flat roofs, down to the towers and battlements of the city's Northern wall."
12617,Beyond that was the river and beyond the river a short slope covered with gardens.
12618,"But beyond that again there was something he had never seen the like of - a great yellowish-grey thing, flat as a calm sea, and stretching for miles."
12619,"On the far side of it were huge blue things, lumpy but with jagged edges, and some of them with white tops."
12620,The desert! the mountains! thought Shasta.
12621,"He jumped down on to the rubbish and began trotting along downhill as fast as he could in the narrow lane, which soon brought him into a wider street where there were more people."
12622,No one bothered to look at a little ragged boy running along on bare feet.
12623,"Still, he was anxious and uneasy till he turned a corner and there saw the city gate in front of him."
12624,"Here he was pressed and jostled a bit, for a good many other people were also going out; and on the bridge beyond the gate the crowd became quite a slow procession, more like a queue than a crowd."
12625,"Out there, with clear running water on each side, it was deliciously fresh after the smell and heat and noise of Tashbaan."
12626,When once Shasta had reached the far end of the bridge he found the crowd melting away; everyone seemed to be going either to the left or right along the river bank.
12627,"He went straight ahead up a road that did not appear to be much used, between gardens."
12628,"In a few paces he was alone, and a few more brought him to the top of the slope."
12629,There he stood and stared.
12630,It was like coming to the end of the world for all the grass stopped quite suddenly a few feet before him and the sand began: endless level sand like on a sea shore but a bit rougher because it was never wet.
12631,"The mountains, which now looked further off than before, loomed ahead."
12632,"Greatly to his relief he saw, about five minutes' walk away on his left, what must certainly be the Tombs, just as Bree had described them; great masses of mouldering stone shaped like gigantic bee-hive, but a little narrower."
12633,"They looked very black and grim, for the sun was now setting right behind them."
12634,He turned his face West and trotted towards the Tombs.
12635,"He could not help looking out very hard for any sign of his friends, though the setting sun shone in his face so that he could see hardly anything."
12636,"And anyway, he thought, of course they'll be round on the far side of the farthest Tomb, not this side where anyone might see them from the city."
12637,"There were about twelve Tombs, each with a low arched doorway that opened into absolute blackness."
12638,"They were dotted about in no kind of order, so that it took a long time, going round this one and going round that one, before you could be sure that you had looked round every side of every tomb."
12639,This was what Shasta had to do.
12640,There was nobody there.
12641,It was very quiet here out on the edge of the desert; and now the sun had really set.
12642,Suddenly from somewhere behind him there came a terrible sound.
12643,Shasta's heart gave a great jump and he had to bite his tongue to keep himself from screaming.
12644,Next moment he realized what it was: the horns of Tashbaan blowing for the closing of the gates.
12645,"Don't be a silly little coward, said Shasta to himself."
12646,"Why, it's only the same noise you heard this morning."
12647,"But there is a great difference between a noise heard letting you in with your friends in the morning, and a noise heard alone at nightfall, shutting you out."
12648,And now that the gates were shut he knew there was no chance of the others joining him that evening.
12649,"Either they're shut up in Tashbaan for the night, thought Shasta, or else they've gone on without me."
12650,It's just the sort of thing that Aravis would do.
12651,But Bree wouldn't.
12652,"Oh, he wouldn't."
12653,#NAME?
12654,"She was proud and could be hard enough but she was as true as steel and would never have deserted a companion, whether she liked him or not."
12655,Now that Shasta knew he would have to spend the night alone (it was getting darker every minute) he began to like the look of the place less and less.
12656,"There was something very uncomfortable about those great, silent shapes of stone."
12657,He had been trying his hardest for a long time not to think of ghouls: but he couldn't keep it up any longer.
12658,"Ow! Ow! Help! he shouted suddenly, for at that very moment he felt something touch his leg."
12659,"I don't think anyone can be blamed for shouting if something comes up from behind and touches him; not in such a place and at such a time, when he is frightened already."
12660,Shasta at any rate was too frightened to run.
12661,Anything would be better than being chased round and round the burial places of the Ancient Kings with something he dared not look at behind him.
12662,"Instead, he did what was really the most sensible thing he could do."
12663,He looked round; and his heart almost burst with relief.
12664,What had touched him was only a cat.
12665,The light was too bad now for Shasta to see much of the cat except that it was big and very solemn.
12666,"It looked as if it might have lived for long, long years among the Tombs, alone."
12667,Its eyes made you think it knew secrets it would not tell.
12668,"Puss, puss, said Shasta."
12669,I suppose you're not a talking cat.
12670,The cat stared at him harder than ever.
12671,"Then it started walking away, and of course Shasta followed it."
12672,It led him right through the tombs and out on the desert side of them.
12673,"There it sat down bolt upright with its tail curled round its feet and its face set towards the desert and towards Narnia and the North, as still as if it were watching for some enemy."
12674,"Shasta lay down beside it with his back against the cat and his face towards the Tombs, because if one is nervous there's nothing like having your face towards the danger and having something warm and solid at your back."
12675,"The sand wouldn't have seemed very comfortable to you, but Shasta had been sleeping on the ground for weeks and hardly noticed it."
12676,"Very soon he fell asleep, though even in his dreams he went on wondering what had happened to Bree and Aravis and Hwin."
12677,He was wakened suddenly by a noise he had never heard before.
12678,"Perhaps it was only a nightmare, said Shasta to himself."
12679,"At the same moment he noticed that the cat had gone from his back, and he wished it hadn't."
12680,But he lay quite still without even opening his eyes because he felt sure he would be more frightened if he sat up and looked round at the Tombs and the loneliness: just as you or I might lie still with the clothes over our heads.
12681,"But then the noise came again - a harsh, piercing cry from behind him out of the desert."
12682,Then of course he had to open his eyes and sit up.
12683,The moon was shining brightly.
12684,The Tombs - far bigger and nearer than he had thought they would be - looked grey in the moonlight.
12685,"In fact, they looked horribly like huge people, draped in grey robes that covered their heads and faces."
12686,They were not at all nice things to have near you when spending a night alone in a strange place.
12687,"But the noise had come from the opposite side, from the desert."
12688,Shasta had to turn his back on the Tombs (he didn't like that much) and stare out across the level sand.
12689,The wild cry rang out again.
12690,"I hope it's not more lions, thought Shasta."
12691,"It was in fact not very like the lion's roars he had heard on the night when they met Hwin and Aravis, and was really the cry of a jackal."
12692,But of course Shasta did not know this.
12693,"Even if he had known, he would not have wanted very much to meet a jackal."
12694,The cries rang out again and again.
12695,"There's more than one of them, whatever they are, thought Shasta."
12696,And they're coming nearer.
12697,"I suppose that if he had been an entirely sensible boy he would have gone back through the Tombs nearer to the river where there were houses, and wild beasts would be less likely to come."
12698,But then there were (or he thought there were) the ghouls.
12699,"To go back through the Tombs would mean going past those dark openings in the Tombs; and what might come out of them? It may have been silly, but Shasta felt he would rather risk the wild beasts."
12700,"Then, as the cries came nearer and nearer, he began to change his mind."
12701,"He was just going to run for it when suddenly, between him and the desert, a huge animal bounded into view."
12702,"As the moon was behind it, it looked quite black, and Shasta did not know what it was, except that it had a very big, shaggy head and went on four legs."
12703,"It did not seem to have noticed Shasta, for it suddenly stopped, turned its head towards the desert and let out a roar which re-echoed through the Tombs and seemed to shake the sand under Shasta's feet."
12704,The cries of the other creatures suddenly stoppd and he thought he could hear feet scampering away.
12705,Then the great beast turned to examine Shasta.
12706,"It's a lion, I know it's a lion, thought Shasta."
12707,I'm done.
12708,I wonder will it hurt much.
12709,I wish it was over.
12710,I wonder does anything happen to people after they're dead.
12711,O-o-oh! Here it comes! And he shut his eyes and his teeth tight.
12712,But instead of teeth and claws he only felt something warm lying down at his feet.
12713,"And when he opened his eyes he said, Why, it's not nearly as big as I thought! It's only half the size."
12714,"No, it isn't even quarter the size."
12715,I do declare it's only the cat!! I must have dreamed all that about its being as big as a horse.
12716,"And whether he really had been dreaming or not, what was now lying at his feet, and staring him out of countenance with its big, green, unwinking eyes, was the cat; though certainly one of the largest cats he had ever seen."
12717,"Oh, Puss, gasped Shasta."
12718,I am so glad to see you again.
12719,I've been having such horrible dreams.
12720,"And he at once lay down again, back to back with the cat as they had been at the beginning of the night."
12721,The warmth from it spread all over him.
12722,"I'll never do anything nasty to a cat again as long as I live, said Shasta, half to the cat and half to himself."
12723,"I did once, you know."
12724,I threw stones at a half-starved mangy old stray.
12725,Hey! Stop that.
12726,For the cat had turned round and given him a scratch.
12727,"None of that, said Shasta."
12728,It isn't as if you could understand what I'm saying.
12729,Then he dozed off.
12730,"Next morning when he woke, the cat was gone, the sun was already up, and the sand hot."
12731,"Shasta, very thirsty, sat up and rubbed his eyes."
12732,"The desert was blindingly white and, though there was a murmur of noises from the city behind him, where he sat everything was perfectly still."
12733,"When he looked a little left and west, so that the sun was not in his eyes, he could see the mountains on the far side of the desert, so sharp and clear that they looked only a stone's throw away."
12734,He particularly noticed one blue height that divided into two peaks at the top and decided that it must be Mount Pire.
12735,"That's our direction, judging by what the Raven said, he thought, so I'll just make sure of it, so as not to waste any time when the others turn up."
12736,"So he made a good, deep straight furrow with his foot pointing exactly to Mount Pire."
12737,"The next job, clearly, was to get something to eat and drink."
12738,Shasta trotted back through the Tombs - they looked quite ordinary now and he wondered how he could ever have been afraid of them - and down into the cultivated land by the river's side.
12739,"There were a few people about but not very many, for the city gates had been open several hours and the early morning crowds had already gone in."
12740,So he had no diffculty in doing a little raiding (as Bree called it).
12741,"It involved a climb over a garden wall and the results were three oranges, a melon, a fig or two, and a pomegranate."
12742,"After that, he went down to the river bank, but not too near the bridge, and had a drink."
12743,"The water was so nice that he took off his hot, dirty clothes and had a dip; for of course Shasta, having lived on the shore all his life, had learned to swim almost as soon as he had learned to walk."
12744,When he came out he lay on the grass looking across the water at Tashbaan - all the splendour and strength and glory of it.
12745,But that made him remember the dangers of it too.
12746,"He suddenly realized that the others might have reached the Tombs while he was bathing (and gone on without me, as likely as not), so he dressed in a fright and tore back at such a speed that he was all hot and thirsty when he arrived and so the good of his bathe was gone."
12747,Like most days when you are alone and waiting for something this day seemed about a hundred hours long.
12748,"He had plenty to think of, of course, but sitting alone, just thinking, is pretty slow."
12749,He thought a good deal about the Narnians and especially about Corin.
12750,He wondered what had happened when they discovered that the boy who had been lying on the sofa and hearing all their secret plans wasn't really Corin at all.
12751,It was very unpleasant to think of all those nice people imagining him a traitor.
12752,"But as the sun slowly, slowly climbed up to the top of the sky and then slowly, slowly began going downwards to the West, and no one came and nothing at all happened, he began to get more and more anxious."
12753,And of course he now realized that when they arranged to wait for one another at the Tombs no one had said anything about How Long.
12754,"He couldn't wait here for the rest of his life! And soon it would be dark again, and he would have another night just like last night."
12755,"A dozen different plans went through his head, all wretched ones, and at last he fixed on the worst plan of all."
12756,"He decided to wait till it was dark and then go back to the river and steal as many melons as he could carry and set out for Mount Pire alone, trusting for his direction to the line he had drawn that morning in the sand."
12757,It was a crazy idea and if he had read as many books as you have about journeys over deserts he would never have dreamed of it.
12758,But Shasta had read no books at all.
12759,Before the sun set something did happen.
12760,Shasta was sitting in the shadow of one of the Tombs when he looked up and saw two horses coming towards him.
12761,"Then his heart gave a great leap, for he recognized them as Bree and Hwin."
12762,But the next moment his heart went down into his toes again.
12763,There was no sign of Aravis.
12764,"The Horses were being led by a strange man, an armed man pretty handsomely dressed like an upper slave in a great family."
12765,"Bree and Hwin were no longer got up like pack-horses, but saddled and bridled."
12766,"And what could it all mean? It's a trap, thought Shasta."
12767,Somebody has caught Aravis and perhaps they've tortured her and she's given the whole thing away.
12768,"They want me to jump out and run up and speak to Bree and then I'll be caught too! And yet if I don't, I may be losing my only chance to meet the others."
12769,Oh I do wish I knew what had happened.
12770,"And he skulked behind the Tomb, looking out every few minutes, and wondering which was the least dangerous thing to do."
12771,  CHAPTER SEVEN  ARAVIS IN TASHBAAN  WHAT had really happened was this.
12772,"When Aravis saw Shasta hurried away by the Narnians and found herself alone with two horses who (very wisely) wouldn't say a word, she never lost her head even for a moment."
12773,"She grabbed Bree's halter and stood still, holding both the horses; and though her heart was beating as hard as a hammer, she did nothing to show it."
12774,As soon as the Narnian lords had passed she tried to move on again.
12775,"But before she could take a step, another crier (Bother all these people thought Aravis) was heard shouting out, Way, way, way! Way for the Tarkheena Lasaraleen! and immediately, following the crier, came four armed slaves and then four bearers carrying a litter which was all a-flutter with silken curtains and all a-jingle with silver bells and which scented the whole street with perfumes and flowers."
12776,"After the litter, female slaves in beautiful clothes, and then a few grooms, runners, pages, and the like."
12777,And now Aravis made her first mistake.
12778,She knew Lasaraleen quite well - almost as if they had been at school together - because they had often stayed in the same houses and been to the same parties.
12779,And Aravis couldn't help looking up to see what Lasaraleen looked like now that she was married and a very great person indeed.
12780,It was fatal.
12781,The eyes of the two girls met.
12782,And immediately Lasaraleen sat up in the litter and burst out at the top of her voice.
12783,Aravis! What on earth are you doing here? Your father-  There was not a moment to lose.
12784,"Without a second's delay Aravis let go the Horses, caught the edge of the litter, swung herself up beside Lasaraleen and whispered furiously in her ear."
12785,Shut up! Do you hear! Shut up.
12786,You must hide me.
12787,Tell your people-  But darling- began Lasaraleen in the same loud voice.
12788,(She didn't in the least mind making people stare; in fact she rather liked it.
12789,")  Do what I tell you or I'll never speak to you again, hissed Aravis."
12790,"Please, please be quick, Las."
12791,It's frightfully important.
12792,Tell your people to bring those two horses along.
12793,Pull all the curtains of the litter and get away somewhere where I can't be found.
12794,And do hurry.
12795,"All right, darling, said Lasaraleen in her lazy voice."
12796,Here.
12797,Two of you take the Tarkheena's horses.
12798,(This was to the slaves.
12799,) And now home.
12800,"I say, darling, do you think we really want the curtains drawn on a day like this? I mean to say-  But Aravis had already drawn the curtains, enclosing Lasaraleen and herself in a rich and scented, but rather stuffy, kind of tent."
12801,"I mustn't be seen, she said."
12802,My father doesn't know I'm here.
12803,I'm running away.
12804,"My dear, how perfectly thrilling, said Lasaraleen."
12805,I'm dying to hear all about it.
12806,"Darling, you're sitting on my dress."
12807,Do you mind? That's better.
12808,It is a new one.
12809,"Do you like it? I got it at-  Oh, Las, do be serious, said Aravis."
12810,Where is my father?  Didn't you know? said Lasaraleen.
12811,"He's here, of course."
12812,He came to town yesterday and is asking about you everywhere.
12813,And to think of you and me being here together and his not knowing anything about it! It's the funniest thing I ever heard.
12814,And she went off into giggles.
12815,"She always had been a terrible giggler, as Aravis now remembered."
12816,"It isn't funny at all, she said."
12817,It's dreadfully serious.
12818,"Where can you hide me?  No difficulty at all, my dear girl, said Lasaraleen."
12819,I'll take you home.
12820,My husband's away and no one will see you.
12821,Phew! It's not much fun with the curtains drawn.
12822,I want to see people.
12823,There's no point in having a new dress on if one's to go about shut up like this.
12824,"I hope no one heard you when you shouted out to me like that, said Aravis."
12825,"No, no, of course, darling, said Lasaraleen absentmindedly."
12826,But you haven't even told me yet what you think of the dress.
12827,"Another thing, said Aravis."
12828,You must tell your people to treat those two horses very respectfully.
12829,That's part of the secret.
12830,They're really Talking Horses from Narnia.
12831,Fancy! said Lasaraleen.
12832,"How exciting! And oh, darling, have you seen the barbarian queen from Narnia? She's staying in Tashbaan at present."
12833,They say Prince Rabadash is madly in love with her.
12834,There have been the most wonderful parties and hunts and things all this last fortnight.
12835,I can't see that she's so very pretty myself.
12836,But some of the Narnian men are lovely.
12837,"I was taken out on a river party the day before yesterday, and I was wearing my-  How shall we prevent your people telling everyone that you've got a visitor - dressed like a beggar's brat - in your house? It might so easily get round to my father."
12838,"Now don't keep on fussing, there's a dear, said Lasaraleen."
12839,We'll get you some proper clothes in a moment.
12840,And here we are!  The bearers had stopped and the litter was being lowered.
12841,When the curtains had been drawn Aravis found that she was in a courtyard-garden very like the one that Shasta had been taken into a few minutes earlier in another part of the city.
12842,Lasaraleen would have gone indoors at once but Aravis reminded her in a frantic whisper to say something to the slaves about not telling anyone of their mistress's strange visitor.
12843,"Sorry, darling, it had gone right out of my head, said Lasareleen."
12844,Here.
12845,All of you.
12846,"And you, doorkeeper."
12847,No one is to be let out of the house today.
12848,And anyone I catch talking about this young lady will be first beaten to death and then burned alive and after that be kept on bread and water for six weeks.
12849,There.
12850,"Although Lasaraleen had said she was dying to hear Aravis's story, she showed no sign of really wanting to hear it at all."
12851,"She was, in fact, much better at talking than at listening."
12852,She insisted on Aravis having a long and luxurious bath (Calormene baths are famous) and then dressing her up in the finest clothes before she would let her explain anything.
12853,The fuss she made about choosing the dresses nearly drove Aravis mad.
12854,"She remembered now that Lasaraleen had always been like that, interested in clothes and parties and gossip."
12855,Aravis had always been more interested in bows and arrows and horses and dogs and swimming.
12856,You will guess that each thought the other silly.
12857,But when at last they were both seated after a meal (it was chiefly of the whipped cream and jelly and fruit and ice sort) in a beautiful pillared room (which Aravis would have liked better if Lasaraleen's spoiled pet monkey hadn't been climbing about it all the time) Lasaraleen at last asked her why she was running away from home.
12858,"When Aravis had finished telling her story, Lasaraleen said, But, darling, why don't you marry Ahoshta Tarkaan? Everyone's crazy about him."
12859,My husband says he is beginning to be one of the greatest men in Calormen.
12860,He has just been made Grand Vizier now old Axartha has died.
12861,Didn't you know?  I don't care.
12862,"I can't stand the sight of him, said Aravis."
12863,"But, darling, only think! Three palaces, and one of them that beautiful one down on the lake at Ilkeen."
12864,"Positively ropes of pearls, I'm told."
12865,Baths of asses' milk.
12866,And you'd see such a lot of me.
12867,"He can keep his pearls and palaces as far as I'm concerned, said Aravis."
12868,"You always were a queer girl, Aravis, said Lasaraleen."
12869,"What more do you want?  In the end, however, Aravis managed to make her friend believe that she was in earnest and even to discuss plans."
12870,There would be no difficulty now about getting the two horses out of the North gate and then on to the Tombs.
12871,"No one would stop or question a groom in fine clothes leading a war horse and a lady's saddle horse down to the river, and Lasaraleen had plenty of grooms to send."
12872,It wasn't so easy to decide what to do about Aravis herself.
12873,She suggested that she could be carried out in the litter with the curtains drawn.
12874,But Lasaraleen told her that litters were only used in the city and the sight of one going out through the gate would be certain to lead to questions.
12875,"When they had talked for a long time - and it was all the longer because Aravis found it hard to keep her friend to the point-at last Lasaraleen clapped her hands and said, Oh, I have an idea."
12876,There is one way of getting out of the city without using the gates.
12877,The Tisroc's garden (may he live for ever!) runs right down to the water and there is a little water-door.
12878,"Only for the palace people of course - but then you know, dear (here she tittered a little) we almost are palace people."
12879,"I say, it is lucky for you that you came to me."
12880,The dear Tisroc (may he live for ever!) is so kind.
12881,We're asked to the palace almost every day and it is like a second home.
12882,I love all the dear princes and princesses and I positively adore Prince Rabadash.
12883,I might run in and see any of the palace ladies at any hour of the day or night.
12884,"Why shouldn't I slip in withyou, after dark, and let you out by the water-door? There are always a few punts and things tied up outside it."
12885,"And even if we were caught-  All would be lost, said Aravis."
12886,"Oh darling, don't get so excited, said Lasaraleen."
12887,"I was going to say, even if we were caught everyone would only say it was one of my mad jokes."
12888,I'm getting quite well known for them.
12889,"Only the other day- do listen, dear, this is frightfully funny-  I meant, all would be lost for me, said Aravis a little sharply."
12890,"Oh - ah - yes - I do see what you mean, darling."
12891,"Well, can you think of any better plan?  Aravis couldn't, and answered, No."
12892,We'll have to risk it.
12893,"When can we start?  Oh, not tonight, said Lasaraleen."
12894,Of course not tonight.
12895,There's a great feast on tonight (I must start getting my hair done for it in a few minutes) and the whole place will be a blaze of lights.
12896,And such a crowd too! It would have to be tomorrow night.
12897,"This was bad news for Aravis, but she had to make the best of it."
12898,"The afternoon passed very slowly and it was a relief when Lasaraleen went out to the banquet, for Aravis was very tired of her giggling and her talk about dresses and parties, weddings and engagements and scandals."
12899,She went to bed early and that part she did enjoy: it was so nice to have pillows and sheets again.
12900,But the next day passed very slowly.
12901,"Lasaraleen wanted to go back on the whole arrangement and kept on telling Aravis that Narnia was a country of perpetual snow and ice inhabited by demons and sorcerers, and she was mad to think of going there."
12902,"And with a peasant boy, too! said Lasaraleen."
12903,"Darling, think of it! It's not Nice."
12904,"Aravis had thought of it a good deal, but she was so tired of Lasaraleen's silliness by now that, for the first time, she began to think that travelling with Shasta was really rather more fun than fashionable life in Tashbaan."
12905,"So she only replied, You forget that I'll be nobody, just like him, when we get to Narnia."
12906,"And anyway, I promised."
12907,"And to think, said Lasaraleen, almost crying, that if only you had sense you could be the wife of a Grand Vizier! Aravis went away to have a private word with the horses."
12908,"You must go with a groom a little before sunset down to the Tombs, she said."
12909,No more of those packs.
12910,You'll be saddled and bridled again.
12911,"But there'll have to be food in Hwin's saddle-bags and a full water-skin behind yours, Bree."
12912,The man has orders to let you both have a good long drink at the far side of the bridge.
12913,"And then, Narnia and the North! whispered Bree."
12914,But what if Shasta is not at the Tombs.
12915,"Wait for him of course, said Aravis."
12916,I hope you've been quite comfortable.
12917,"Never better stabled in my life, said Bree."
12918,"But if the husband of that tittering Tarkheena friend of yours is paying his head groom to get the best oats, then I think the head groom is cheating him."
12919,Aravis and Lasaraleen had supper in the pillared room.
12920,About two hours later they were ready to start.
12921,Aravis was dressed to look like a superior slave-girl in a great house and wore a veil over her face.
12922,They had agreed that if any questions were asked Lasaraleen would pretend that Aravis was a slave she was taking as a present to one of the princesses.
12923,The two girls went out on foot.
12924,A very few minutes brought them to the palace gates.
12925,Here there were of course soldiers on guard but the officer knew Lasaraleen quite well and called his men to attention and saluted.
12926,They passed at once into the Hall of Black Marble.
12927,"A fair number of courtiers, slaves and others were still moving about here but this only made the two girls less conspicuous."
12928,"They passed on into the Hall of Pillars and then into the Hall of Statues and down the colonnade, passing the great beatencopper doors of the throne room."
12929,It was all magnificent beyond description; what they could see of it in the dim light of the lamps.
12930,Presently they came out into the garden-court which sloped downhill in a number of terraces.
12931,On the far side of that they came to the Old Palace.
12932,It had already grown almost quite dark and they now found themselves in a maze of corridors lit only by occasional torches fixed in brackets to the walls.
12933,Lasaraleen halted at a place where you had to go either left or right.
12934,"Go on, do go on, whispered Aravis, whose heart was beating terribly and who still felt that her father might run into them at any corner."
12935,I'm just wondering.
12936,.
12937,.
12938,said Lasaraleen.
12939,I'm not absolutely sure which way we go from here.
12940,I think it's the left.
12941,"Yes, I'm almost sure it's the left."
12942,What fun this is!  They took the left hand way and found themselves in a passage that was hardly lighted at all and which soon began going down steps.
12943,"It's all right, said Lasaraleen."
12944,I'm sure we're right now.
12945,I remember these steps.
12946,But at that moment a moving light appeared ahead.
12947,"A second later there appeared from round a distant corner, the dark shapes of two men walking backwards and carrying tall candles."
12948,And of course it is only before royalties that people walk backwards.
12949,Aravis felt Lasaraleen grip her arm - that sort of sudden grip which is almost a pinch and which means that the person who is gripping you is very frightened indeed.
12950,"Aravis thought it odd that Lasaraleen should be so afraid of the Tisroc if he were really such a friend of hers, but there was no time to go on thinking."
12951,"Lasaraleen was hurrying her back to the top of the steps, on tiptoes, and groping wildly along the wall."
12952,"Here's a door, she whispered."
12953,Quick.
12954,"They went in, drew the door very softly behind them, and found themselves in pitch darkness."
12955,Aravis could hear by Lasaraleen's breathing that she was terrified.
12956,Tash preserve us! whispered Lasaraleen.
12957,What shall we do if he comes in here.
12958,Can we hide?  There was a soft carpet under their feet.
12959,They groped forward into the room and blundered on to a sofa.
12960,"Let's lie down behind it, whimpered Lasaraleen."
12961,"Oh, I do wish we hadn't come."
12962,There was just room between the sofa and the curtained wall and the two girls got down.
12963,Lasaraleen managed to get the better position and was completely covered.
12964,"The upper part of Aravis's face stuck out beyond the sofa, so that if anyone came into that room with a light and happened to look in exactly the right place they would see her."
12965,"But of course, because she was wearing a veil, what they saw would not at once look like a forehead and a pair of eyes."
12966,Aravis shoved desperately to try to make Lasaraleen give her a little more room.
12967,"But Lasaraleen, now quite selfish in her panic, fought back and pinched her feet."
12968,"They gave it up and lay still, panting a little."
12969,"Their own breath semed dreadfully noisy, but there was no other noise."
12970,Is it safe? said Aravis at last in the tiniest possible whisper.
12971,"I - I - think so, began Lasaraleen."
12972,But my poor nerves - and then came the most terrible noise they could have heard at that moment: the noise of the door opening.
12973,And then came light.
12974,"And because Aravis couldn't get her head any further in behind the sofa, she saw everything."
